Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/tools/BulkLoader;1;2;1;10;2;1;0;0;3;1;0;0;2;2;18;1;0;0;0.5;0;0;5
org/apache/cassandra/tools/NodeCmd;1;14;3;335;22;1;0;7;23;231;0;7;10;1.05;141;1;8;0;0.22;0;0;5
org/apache/cassandra/tools/NodeProbe;0;6;3;50;72;1;0;13;73;2556;3;10;71;1.01;448;0.81;5;0;0.27;0;0;5
org/apache/cassandra/tools/SSTableExport;0;3;2;16;12;1;0;10;13;66;0;10;6;1.09;78;1;0;0;0.19;0;0;5
org/apache/cassandra/tools/SSTableImport;0;3;2;12;12;1;0;9;13;66;0;9;5;1.09;81;1;0;0;0.16;0;0;5
