Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/service/AbstractCassandraDaemon;2;15;2;250;13;1;2;4;14;78;2;2;10;1.08;72;1;0;0;0.54;0;0;4.23
org/apache/cassandra/service/AbstractRowResolver;1;5;2;36;4;1;2;7;5;6;2;5;4;1.33;29;1;2;0;0.40;0;0;5
org/apache/cassandra/service/AbstractWriteResponseHandler;0;3;1;10;4;1;2;8;5;6;2;6;3;1.33;19;1;1;0;0.40;0;0;2.50
org/apache/cassandra/service/AntiEntropyService;1;12;2;141;8;1;0;6;9;28;1;6;1;1.14;53;0.60;2;0;0.32;0;0;5
org/apache/cassandra/service/AsyncRepairCallback;1;3;2;31;4;1;0;6;11;0;1;6;3;0.56;45;1;1;0;0.35;0;0;9.50
org/apache/cassandra/service/CassandraDaemon;0;1;1;4;9;1;0;2;9;36;2;0;9;2;9;0;0;0;0.56;0;0;0
org/apache/cassandra/service/ClientState;0;1;1;5;14;1;0;7;15;91;2;5;10;1.08;88;1;1;0;0.23;0;0;5
org/apache/cassandra/service/ConsistencyChecker;0;8;1;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/service/DatacenterQuorumResponseHandler;0;4;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/service/DatacenterReadCallback;4;10;1;139;6;0;0;8;7;15;0;8;3;1.20;38;1;1;0;0.31;0;0;5
org/apache/cassandra/service/DatacenterSyncWriteResponseHandler;3;7;1;29;5;0;0;8;6;10;0;8;4;1.25;34;1;2;0;0.43;0;0;5
org/apache/cassandra/service/DatacenterWriteResponseHandler;1;4;1;14;5;0;0;7;6;10;0;7;3;1.25;32;1;1;0;0.47;0;0;5
org/apache/cassandra/service/DigestMismatchException;0;2;1;22;1;3;0;9;5;0;7;2;1;2;23;0;0;1;1;0;0;22
org/apache/cassandra/service/EmbeddedCassandraService;0;2;2;25;2;1;0;1;3;1;0;1;2;2;13;0;1;0;1;0;0;5
org/apache/cassandra/service/GCInspector;3;11;3;295;3;1;0;1;4;3;0;1;2;1.50;28;0.40;1;0;1;0;0;5
org/apache/cassandra/service/IReadCommand;0;2;2;21;1;1;0;5;1;0;5;0;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/service/IResponseResolver;1;7;1;27;5;1;0;8;5;10;6;2;5;2;5;0;0;0;0.60;0;0;0
org/apache/cassandra/service/IWriteResponseHandler;0;1;1;3;3;1;0;8;4;3;6;2;2;2;8;0;0;0;1;0;0;1.67
org/apache/cassandra/service/IndexScanVerbHandler;0;3;1;13;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/service/MigrationManager;2;10;4;102;14;1;0;8;15;91;2;6;12;1.08;86;1;0;0;0.21;0;0;5
org/apache/cassandra/service/QuorumResponseHandler;1;5;1;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/service/RangeSliceResponseResolver;2;12;2;105;6;1;0;3;7;15;0;3;6;1.20;40;1;0;0;0.38;0;0;5
org/apache/cassandra/service/RangeSliceVerbHandler;1;5;1;20;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/service/ReadCallback;3;13;1;239;12;1;1;14;13;66;4;10;7;1.09;81;0.78;3;0;0.24;0;0;5
org/apache/cassandra/service/ReadResponseResolver;0;16;2;504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/service/RepairCallback;3;8;2;56;4;1;0;6;17;0;0;6;4;0.47;80;1;2;0;0.44;0;0;17.75
org/apache/cassandra/service/RowDigestResolver;0;1;1;0;6;0;0;4;16;13;0;4;6;2;70;0;0;0;0.44;0;0;10.67
org/apache/cassandra/service/RowRepairResolver;2;3;2;43;6;0;0;7;7;15;2;5;5;2;36;0;0;0;0.31;0;0;5
org/apache/cassandra/service/StorageLoadBalancer;0;5;1;23;15;1;0;6;16;105;1;5;8;1.07;98;0.88;1;0;0.36;0;0;5
org/apache/cassandra/service/StorageProxy;12;50;4;1659;35;1;0;17;36;595;0;17;27;1.03;218;0.75;4;0;0.08;0;0;5
org/apache/cassandra/service/StorageProxyMBean;0;2;2;8;19;1;0;1;19;171;1;0;19;2;19;0;0;0;0.37;0;0;0
org/apache/cassandra/service/StorageService;16;67;4;1011;118;1;0;28;119;6903;8;20;91;1.01;730;0.68;9;0;0.08;0;0;5
org/apache/cassandra/service/StorageServiceMBean;0;14;3;179;55;1;0;4;56;1485;2;2;54;2;60;0;0;0;0.22;0;0;0.09
org/apache/cassandra/service/TruncateResponseHandler;0;2;1;10;4;1;0;4;5;6;0;4;4;1.33;29;1;1;0;0.50;0;0;5
org/apache/cassandra/service/WriteResponseHandler;2;6;1;50;8;0;1;8;9;28;1;7;5;1.14;50;1;0;0;0.32;0;0;5
