Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/cli/CliClient;9;55;5;2243;65;0;0;17;66;2080;1;16;8;1.02;397;1;1;0;0.18;0;0;5
org/apache/cassandra/cli/CliCompiler;0;3;1;87;9;1;0;1;10;36;0;1;9;2;54;0;0;0;0.31;0;0;5
org/apache/cassandra/cli/CliCompleter;0;2;1;10;2;1;0;1;3;1;1;0;1;2;14;1;0;0;1;0;0;5
org/apache/cassandra/cli/CliMain;1;12;1;230;10;1;0;4;11;45;0;4;7;1.11;66;0.67;3;0;0.11;0;0;5
org/apache/cassandra/cli/CliOptions;0;6;1;297;3;1;0;2;4;3;0;2;2;1.50;34;1;1;0;0.44;0;0;5
org/apache/cassandra/cli/CliSessionState;0;3;1;22;5;1;0;5;10;0;4;1;5;1;95;0;0;0;0.70;0;0;15
org/apache/cassandra/cli/CliUserHelp;1;21;3;418;2;1;1;3;3;1;1;2;1;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/cli/CliUtils;1;3;1;99;5;1;0;2;6;10;0;2;5;2;30;0;0;0;0.33;0;0;5
