Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/thrift/CassandraDaemon;0;6;3;196;4;0;0;4;5;6;1;3;2;1.33;26;1;1;0;0.50;0;0;5
org/apache/cassandra/thrift/CassandraServer;2;14;3;199;44;1;0;25;45;946;0;25;32;1.02;269;0.80;1;0;0.13;0;0;5
org/apache/cassandra/thrift/CustomTThreadPoolServer;0;3;1;319;3;1;0;7;4;3;1;6;3;1.50;23;1;1;0;0.43;0;0;5
org/apache/cassandra/thrift/TBinaryProtocol;0;1;1;0;3;1;0;2;4;3;0;2;3;2;18;0;0;0;0.58;0;0;5
org/apache/cassandra/thrift/TCustomServerSocket;0;1;1;13;2;1;0;3;3;1;0;3;1;2;16;1;0;0;0.63;0;0;5
org/apache/cassandra/thrift/ThriftValidation;0;12;2;198;21;1;0;15;22;210;0;15;15;1.50;127;1;0;0;0.12;0;0;5
