Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/auth/AllowAllAuthority;0;1;1;2;3;1;0;4;4;3;0;4;3;2;9;0;0;0;0.56;0;0;2
org/apache/cassandra/auth/Resources;0;1;1;1;2;1;0;1;11;1;0;1;2;2;43;0;0;0;0.50;0;0;19.50
org/apache/cassandra/auth/SimpleAuthenticator;0;3;1;23;5;1;0;5;6;10;0;5;4;1.25;34;0;0;0;0.35;0;0;5
org/apache/cassandra/auth/SimpleAuthority;0;1;1;3;3;1;0;4;26;1;0;4;3;1.17;306;0.33;0;0;0.56;0;0;100
