Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/db/BinaryMemtable;1;6;1;20;8;1;0;6;9;28;0;6;3;1.14;57;0.89;2;0;0.29;0;0;5
org/apache/cassandra/db/BinaryVerbHandler;0;4;1;17;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/db/Column;0;9;3;69;26;1;2;13;27;325;8;6;24;1.40;161;1;1;0;0.18;1;1;5
org/apache/cassandra/db/ColumnFamily;1;12;3;106;50;1;0;37;51;1225;26;12;48;1.02;308;0.75;3;0;0.11;1;1;5
org/apache/cassandra/db/ColumnFamilySerializer;1;4;2;127;8;1;0;3;9;28;1;3;8;1.14;49;1;0;0;0.66;0;0;5
org/apache/cassandra/db/ColumnFamilyStore;18;83;6;1527;142;1;0;42;143;10011;15;29;109;1.01;883;0.81;16;0;0.05;0;0;5
org/apache/cassandra/db/ColumnFamilyStoreMBean;0;8;2;40;50;1;0;3;50;1225;2;1;50;2;50;0;0;0;0.38;0;0;0
org/apache/cassandra/db/ColumnFamilyType;0;1;1;5;5;2;0;6;8;6;6;0;3;0.83;68;0.33;3;0.81;0.42;1;1;12
org/apache/cassandra/db/ColumnIndexer;1;2;1;6;6;1;0;8;37;13;0;8;3;0.60;224;0;0;0;0.45;0;0;36.17
org/apache/cassandra/db/ColumnSerializer;0;6;2;56;4;1;0;7;5;6;4;4;4;1.33;27;0.33;0;0;0.45;0;0;5
org/apache/cassandra/db/CompactionManager;8;48;5;1277;36;1;0;14;37;630;2;12;21;1.03;222;0.67;2;0;0.14;0;0;5
org/apache/cassandra/db/CompactionManagerMBean;0;1;1;8;7;1;0;2;7;21;2;0;7;2;7;0;0;0;0.57;0;0;0
org/apache/cassandra/db/DecoratedKey;0;3;1;72;8;1;0;41;23;0;38;5;7;0.74;114;0.20;2;0;0.34;1;1;12.63
org/apache/cassandra/db/DefinitionsAnnounceVerbHandler;0;2;1;6;2;1;0;3;8;1;0;3;2;2;17;0;0;0;0.67;0;0;7.50
org/apache/cassandra/db/DefinitionsUpdateResponseVerbHandler;2;4;2;22;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/db/DefsTable;2;5;2;28;4;1;0;0;5;6;0;0;4;1.33;25;0;0;0;0.33;0;0;5
org/apache/cassandra/db/DeletedColumn;0;5;2;29;7;0;0;5;8;21;0;5;7;1.17;43;1;0;0;0.37;0;0;5
org/apache/cassandra/db/ExpiringColumn;1;6;3;35;11;0;0;6;12;55;0;6;11;1.10;69;1;0;0;0.26;0;0;5
org/apache/cassandra/db/HintedHandOffManager;5;28;4;512;16;1;0;6;17;120;0;6;9;1.07;104;0.75;1;0;0.24;0;0;5
org/apache/cassandra/db/HintedHandOffManagerMBean;0;1;1;0;3;1;0;1;3;3;1;0;3;2;3;0;0;0;0.67;0;0;0
