Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/utils/AbstractStatsDeque;0;1;1;1;10;1;2;2;15;45;2;0;10;2;80;0;0;0;0.55;0;0;7
org/apache/cassandra/utils/BitSetSerializer;0;2;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/utils/BloomCalculations;0;1;1;18;5;1;0;1;20;0;0;1;3;0.83;1055;0.67;0;0;0.31;0;0;208.80
org/apache/cassandra/utils/BloomFilter;0;4;2;191;11;0;0;8;12;55;4;4;6;1.10;70;0.50;2;0;0.30;0;0;5
org/apache/cassandra/utils/BloomFilterSerializer;0;2;2;21;5;1;0;3;14;10;0;3;4;2;80;0;0;0;0.44;0;0;15
org/apache/cassandra/utils/ByteBufferUtil;7;26;4;637;33;1;0;18;34;528;18;0;31;1.03;199;0;0;0;0.12;0;0;5
org/apache/cassandra/utils/CLibrary;0;9;2;482;13;1;0;3;14;78;1;2;8;1.08;92;1;0;0;0.13;0;0;5
org/apache/cassandra/utils/DefaultDouble;1;1;1;0;4;1;0;1;5;0;1;0;4;0.33;32;1;0;0;0.75;0;0;6.50
org/apache/cassandra/utils/DefaultInteger;1;1;1;0;4;1;0;1;5;0;1;0;4;0.33;31;1;0;0;0.75;0;0;6.25
org/apache/cassandra/utils/EstimatedHistogram;0;4;3;128;13;1;0;6;27;0;6;1;10;0.63;318;0.25;1;0;0.30;0;0;23.15
org/apache/cassandra/utils/ExpiringMap;1;7;1;85;11;1;0;6;12;55;3;3;11;1.10;71;1;0;0;0.43;0;0;5
org/apache/cassandra/utils/FBUtilities;1;30;4;540;33;1;0;30;34;528;20;10;33;1.03;203;0.60;0;0;0.05;0;0;5
org/apache/cassandra/utils/Filter;0;1;1;46;4;1;2;4;5;6;4;0;3;1;11;0;0;0;0.75;0;0;1.50
org/apache/cassandra/utils/GuidGenerator;0;4;3;54;5;1;0;2;6;10;1;1;4;1.25;34;1;0;0;0.20;0;0;5
org/apache/cassandra/utils/LatencyTracker;0;2;2;5;8;1;0;3;16;2;2;1;8;0.62;125;1;2;0;0.63;0;0;13.88
org/apache/cassandra/utils/LegacyBloomFilter;0;2;2;4;16;0;0;5;17;120;2;3;10;1.07;100;0.75;1;0;0.24;0;0;5
org/apache/cassandra/utils/LegacyBloomFilterSerializer;0;2;2;21;5;1;0;2;16;10;0;2;4;2;58;0;0;0;0.44;0;0;10.60
org/apache/cassandra/utils/MerkleTree;0;1;1;13;24;1;0;12;25;276;6;8;14;1.04;154;0.50;2;0;0.21;0;0;5
org/apache/cassandra/utils/MurmurHash;0;3;2;197;3;1;0;0;5;3;0;0;3;2;464;0;0;0;0.50;0;0;153.67
org/apache/cassandra/utils/Mx4jTool;0;1;1;1;4;1;0;1;5;6;0;1;2;1.33;25;1;0;0;0.25;0;0;5
org/apache/cassandra/utils/PageCacheMetrics;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/utils/ReducingIterator;1;1;1;7;7;1;2;4;8;21;4;0;3;1.17;34;1;0;0;0.48;0;0;3.57
org/apache/cassandra/utils/SafeMessageDigest;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/utils/SimpleCondition;0;1;1;4;11;1;0;7;21;23;7;0;10;0.70;107;0;0;0;0.35;0;0;8.55
org/apache/cassandra/utils/StatusLogger;0;3;3;31;2;1;0;1;3;1;0;1;2;2;13;1;0;0;0.50;0;0;5
org/apache/cassandra/utils/UUIDGen;1;3;1;46;4;1;0;8;5;6;8;0;4;2;24;0;0;0;0.25;0;0;5
org/apache/cassandra/utils/XMLUtils;0;1;1;24;5;1;0;1;22;0;1;0;5;0.25;114;1;0;0;0.67;0;0;21.40
org/apache/cassandra/utils/obs/ArrayUtil;0;1;1;0;3;1;0;1;6;3;1;0;2;2;36;0;0;0;0.44;0;0;11
org/apache/cassandra/utils/obs/BitUtil;0;1;1;0;16;1;0;1;17;108;1;0;14;0.80;3109;0;0;0;0.33;0;0;193.25
org/apache/cassandra/utils/obs/OpenBitSet;0;1;1;0;57;1;0;5;73;0;2;3;56;0.26;1612;1;0;0;0.25;1;1;27.25
