Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/hadoop/ColumnFamilyInputFormat;1;4;2;88;6;1;0;8;7;15;1;7;3;1.20;39;1;0;0;0.31;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyOutputFormat;0;3;2;24;7;1;0;9;8;21;0;9;6;1.17;45;0.33;0;0;0.30;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyRecordReader;0;5;3;39;8;1;0;8;9;28;1;8;7;1.14;58;1;3;0;0.42;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyRecordWriter;3;8;2;134;9;1;0;13;10;36;2;11;3;1.13;60;1;1;0;0.22;0;0;5
org/apache/cassandra/hadoop/ColumnFamilySplit;0;2;2;8;10;1;0;1;11;45;1;0;9;1.11;63;1;0;0;0.28;0;0;5
org/apache/cassandra/hadoop/ConfigHelper;0;5;3;25;28;1;0;3;29;378;0;3;26;1.04;187;1;0;0;0.26;0;0;5
org/apache/cassandra/hadoop/pig/CassandraStorage;1;15;2;698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/hadoop/streaming/AvroOutputReader;0;2;2;25;6;1;0;4;7;15;0;4;6;1.20;40;1;0;0;0.58;0;0;5
