Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/auth/AllowAllAuthority;0;1;1;2;3;1;0;4;4;3;0;4;3;2;9;0;0;0;0.56;0;0;2
org/apache/cassandra/auth/Resources;0;1;1;1;2;1;0;1;11;1;0;1;2;2;43;0;0;0;0.50;0;0;19.50
org/apache/cassandra/auth/SimpleAuthenticator;0;3;1;23;5;1;0;5;6;10;0;5;4;1.25;34;0;0;0;0.35;0;0;5
org/apache/cassandra/auth/SimpleAuthority;0;1;1;3;3;1;0;4;26;1;0;4;3;1.17;306;0.33;0;0;0.56;0;0;100
org/apache/cassandra/avro/AvroRecordFactory;0;1;1;1;12;1;0;8;13;66;0;8;12;2;72;0;0;0;0.19;0;0;5
org/apache/cassandra/avro/AvroValidation;0;3;2;8;19;1;0;12;20;171;0;12;2;2;114;0;0;0;0.15;0;0;5
org/apache/cassandra/avro/CassandraDaemon;0;3;2;16;4;0;0;3;5;6;0;3;2;1.33;26;1;0;0;0.50;0;0;5
org/apache/cassandra/avro/CassandraServer;1;7;2;63;53;1;0;40;54;1378;0;40;29;1.02;331;0.77;1;0;0.09;0;0;5
org/apache/cassandra/cache/InstrumentedCache;0;3;2;30;17;1;1;4;18;136;3;1;17;1.06;109;0.86;0;0;0.49;0;0;5
org/apache/cassandra/cli/CliClient;9;55;5;2243;65;0;0;17;66;2080;1;16;8;1.02;397;1;1;0;0.18;0;0;5
org/apache/cassandra/cli/CliCompiler;0;3;1;87;9;1;0;1;10;36;0;1;9;2;54;0;0;0;0.31;0;0;5
org/apache/cassandra/cli/CliCompleter;0;2;1;10;2;1;0;1;3;1;1;0;1;2;14;1;0;0;1;0;0;5
org/apache/cassandra/cli/CliMain;1;12;1;230;10;1;0;4;11;45;0;4;7;1.11;66;0.67;3;0;0.11;0;0;5
org/apache/cassandra/cli/CliOptions;0;6;1;297;3;1;0;2;4;3;0;2;2;1.50;34;1;1;0;0.44;0;0;5
org/apache/cassandra/cli/CliSessionState;0;3;1;22;5;1;0;5;10;0;4;1;5;1;95;0;0;0;0.70;0;0;15
org/apache/cassandra/cli/CliUserHelp;1;21;3;418;2;1;1;3;3;1;1;2;1;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/cli/CliUtils;1;3;1;99;5;1;0;2;6;10;0;2;5;2;30;0;0;0;0.33;0;0;5
org/apache/cassandra/client/RingCache;0;2;2;12;5;1;0;5;6;10;1;4;5;1.25;36;1;1;0;0.37;0;0;5
org/apache/cassandra/concurrent/AIOExecutorService;0;1;1;12;14;1;0;0;28;0;0;0;14;0.08;93;1;0;0;0.24;0;0;5.57
org/apache/cassandra/concurrent/DebuggableScheduledThreadPoolExecutor;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor;1;7;2;133;7;3;2;3;8;21;2;1;4;1.17;43;1;0;0.93;0.32;1;1;5
org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutor;0;1;1;5;1;0;0;4;2;0;1;3;1;2;10;0;0;0;1;0;0;9
org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutorMBean;0;1;1;2;2;1;0;2;2;1;1;1;2;2;2;0;0;0;0.75;0;0;0
org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutor;0;3;2;46;15;0;1;7;39;79;3;4;11;0.50;190;1;0;0;0.21;0;0;11.47
org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutorMBean;0;1;1;13;2;1;0;3;2;1;2;1;2;2;2;0;0;0;1;0;0;0
org/apache/cassandra/concurrent/NamedThreadFactory;0;1;1;4;3;1;0;3;13;1;3;0;3;0;52;1;0;0;0.58;0;0;15.33
org/apache/cassandra/concurrent/RetryingScheduledThreadPoolExecutor;0;4;1;12;4;4;0;3;5;6;3;0;3;2;24;0;0;0.99;0.55;1;1;5
org/apache/cassandra/concurrent/Stage;1;3;1;23;7;2;0;5;22;17;5;0;4;0.68;299;0.17;11;0.72;0.33;1;1;40
org/apache/cassandra/concurrent/StageManager;1;6;2;24;6;1;0;6;23;9;1;5;3;0.90;157;0.50;0;0;0.40;0;0;24.83
org/apache/cassandra/config/CFMetaData;6;25;5;565;45;1;0;31;46;990;23;8;42;1.02;310;0.40;9;0;0.10;1;1;5
org/apache/cassandra/config/ColumnDefinition;2;9;3;158;17;1;0;8;18;136;3;5;17;1.06;106;0.75;1;0;0.14;1;1;5
org/apache/cassandra/config/Config;0;11;3;27;1;1;0;6;6;0;2;4;1;2;196;0;4;0;1;0;0;137
org/apache/cassandra/config/Converter;0;1;1;11;5;1;0;3;6;10;0;3;2;1.25;31;1;1;0;0.25;0;0;5
org/apache/cassandra/config/DatabaseDescriptor;4;31;4;286;95;1;0;33;96;4465;16;17;93;1.01;588;0.89;9;0;0.03;0;0;5
org/apache/cassandra/config/KSMetaData;0;5;3;42;8;1;0;13;9;28;11;2;8;1.14;53;0.20;0;0;0.22;1;1;5
org/apache/cassandra/contrib/utils/service/CassandraServiceDataCleaner;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/contrib/utils/service/CassandraServiceTest;1;2;2;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/BinaryMemtable;1;6;1;20;8;1;0;6;9;28;0;6;3;1.14;57;0.89;2;0;0.29;0;0;5
