Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/io/AbstractCompactedRow;2;4;3;66;5;1;3;8;6;10;7;1;5;1;12;0;1;0;0.40;0;0;1.20
org/apache/cassandra/io/CompactionIterator;0;11;3;79;12;0;1;8;13;66;1;7;6;1.09;81;0.89;1;0;0.26;0;0;5
org/apache/cassandra/io/DeletionService;0;1;1;5;4;1;0;3;11;0;0;3;3;0.83;32;0;0;0;0.33;0;0;6.50
org/apache/cassandra/io/IColumnSerializer;0;1;1;0;1;1;0;6;1;0;4;2;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/io/ICompactSerializer2;0;1;1;4;2;1;0;9;2;1;9;0;2;2;2;0;0;0;0.63;0;0;0
org/apache/cassandra/io/ICompactSerializer;0;1;1;3;2;1;0;43;2;1;43;0;2;2;2;0;0;0;0.63;0;0;0
org/apache/cassandra/io/ICompactionInfo;0;1;1;2;3;1;0;7;3;3;7;0;3;2;3;0;0;0;1;0;0;0
org/apache/cassandra/io/LazilyCompactedRow;1;7;2;32;8;0;0;7;9;28;1;7;8;1.14;57;1;3;0;0.25;0;0;5
org/apache/cassandra/io/PrecompactedRow;1;7;2;110;6;0;0;5;7;15;0;5;6;1.20;39;1;1;0;0.26;0;0;5
org/apache/cassandra/io/SerDeUtils;1;3;2;19;7;1;0;4;8;21;0;4;7;1.17;43;1;0;0;0.31;0;0;5
org/apache/cassandra/io/sstable/CacheWriter;1;8;3;49;6;1;0;6;7;15;2;4;6;1.20;43;1;0;0;0.33;0;0;5
org/apache/cassandra/io/sstable/Descriptor;3;10;2;81;13;1;0;14;14;78;12;2;11;1.08;92;0.07;0;0;0.29;1;1;5
org/apache/cassandra/io/sstable/IndexHelper;1;10;3;160;9;1;0;10;35;34;0;10;8;0.88;175;0;0;0;0.27;0;0;18.33
org/apache/cassandra/io/sstable/IndexSummary;0;1;1;3;7;1;0;5;20;3;2;3;7;0.42;96;1;0;0;0.57;0;0;12.43
org/apache/cassandra/io/sstable/KeyIterator;0;4;2;15;5;1;0;3;6;10;0;3;4;1.25;32;1;2;0;0.60;0;0;5
org/apache/cassandra/io/sstable/SSTable;2;12;4;71;18;1;2;11;19;153;4;7;10;1.06;120;0.25;5;0;0.16;0;0;5
org/apache/cassandra/io/sstable/SSTableDeletingReference;2;3;1;13;3;3;0;5;4;3;2;4;2;1.50;25;0.57;2;0.80;0.50;0;0;5
org/apache/cassandra/io/sstable/SSTableIdentityIterator;0;7;3;283;13;1;0;11;14;78;4;7;13;1.08;90;0.75;4;0;0.23;0;0;5
org/apache/cassandra/io/sstable/SSTableReader;7;23;3;272;37;0;0;40;38;666;20;23;31;1.03;234;0.92;7;0;0.09;0;0;5
org/apache/cassandra/io/sstable/SSTableScanner;1;7;3;92;10;1;0;8;11;45;3;6;8;1.11;67;1;4;0;0.28;0;0;5
org/apache/cassandra/io/sstable/SSTableTracker;0;5;2;128;17;1;0;6;18;136;3;3;17;1.06;110;1;2;0;0.27;0;0;5
org/apache/cassandra/io/sstable/SSTableWriter;6;30;5;271;15;0;0;17;16;105;2;15;11;1.07;96;1;5;0;0.18;0;0;5
org/apache/cassandra/io/util/AbstractDataInput;0;1;1;0;17;2;1;1;34;136;1;0;15;2;411;0;0;0.36;0.41;0;0;23.18
org/apache/cassandra/io/util/BufferedRandomAccessFile;6;20;3;1023;34;2;0;15;75;347;11;4;29;0.65;941;0.89;0;0.63;0.22;1;9;26.15
org/apache/cassandra/io/util/ColumnSortedMap;0;4;2;46;27;1;0;3;26;343;0;3;27;0.95;163;1;1;0;0.19;0;0;4.85
org/apache/cassandra/io/util/DataOutputBuffer;0;3;2;71;7;4;0;6;13;21;5;1;6;2;42;0;0;0.84;0.57;1;2;5
org/apache/cassandra/io/util/FileDataInput;1;3;2;13;7;1;0;18;7;21;17;1;7;2;7;0;0;0;0.48;0;0;0
org/apache/cassandra/io/util/FileUtils;0;10;2;208;17;1;0;5;18;136;4;1;17;1.06;108;1;0;0;0.11;0;0;5
org/apache/cassandra/io/util/IIterableColumns;0;1;1;2;2;1;0;4;2;1;3;1;2;2;2;0;0;0;1;0;0;0
org/apache/cassandra/io/util/MappedFileDataInput;2;6;4;399;18;0;0;5;45;1;1;4;15;0.63;313;0.75;0;0;0.26;0;0;16.17
org/apache/cassandra/io/util/MmappedSegmentedFile;0;1;1;9;4;0;0;6;20;2;1;5;2;0.56;138;0.33;1;0;0.60;0;0;32.75
org/apache/cassandra/io/util/OutputBuffer;0;1;1;1;6;3;0;1;11;5;1;0;6;2;73;0;0;0.82;0.50;1;5;11.17
org/apache/cassandra/io/util/PageCacheInformer;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/util/SegmentedFile;1;2;2;16;5;1;2;9;16;8;7;6;4;0.75;57;0;0;0;0.44;0;0;10
