Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/utils/BloomCalculations;0;1;1;11;5;1;0;1;20;0;0;1;3;0.83;1055;0.67;0;0;0.31;0;0;208.80
org/apache/cassandra/utils/BloomFilter;1;5;3;29;12;0;0;8;13;66;4;4;7;1.09;76;0.50;2;0;0.28;0;0;5
org/apache/cassandra/utils/ByteBufferUtil;0;1;1;17;35;1;0;29;36;595;29;0;33;1.03;211;0;0;0;0.12;0;0;5
org/apache/cassandra/utils/ExpiringMap;0;1;1;29;12;1;0;4;13;66;2;2;12;1.09;77;1;0;0;0.46;0;0;5
org/apache/cassandra/utils/FBUtilities;0;7;3;171;39;1;0;33;40;741;23;10;39;1.03;243;0.67;0;0;0.05;0;0;5
org/apache/cassandra/utils/MerkleTree;0;2;1;21;22;1;0;14;23;231;8;9;14;1.05;144;0.42;4;0;0.21;0;0;5
org/apache/cassandra/utils/NodeId;1;2;1;47;15;1;0;9;16;105;7;2;13;1.07;93;0.67;0;0;0.19;1;1;5
org/apache/cassandra/utils/StatusLogger;0;2;2;12;2;1;0;1;3;1;0;1;2;2;13;1;0;0;0.50;0;0;5
