Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/hadoop/ColumnFamilyInputFormat;1;9;3;238;6;1;0;8;7;15;1;7;3;1.20;39;1;0;0;0.31;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyOutputFormat;0;1;1;1;7;1;0;9;8;21;0;9;6;1.17;45;0.33;0;0;0.30;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyRecordReader;1;13;3;961;9;1;0;8;10;36;1;8;7;1.13;65;1;3;0;0.31;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyRecordWriter;0;5;2;139;6;1;0;7;7;15;2;5;3;1.20;42;1;1;0;0.33;0;0;5
org/apache/cassandra/hadoop/ConfigHelper;1;6;3;241;32;1;0;5;33;496;0;5;28;1.03;213;1;0;0;0.21;0;0;5
org/apache/cassandra/hadoop/pig/CassandraStorage;2;11;2;345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
