Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/locator/AbstractEndpointSnitch;0;1;1;35;5;1;3;5;6;10;3;2;5;1.25;26;1;0;0;0.50;0;0;4
org/apache/cassandra/locator/AbstractNetworkTopologySnitch;0;2;1;45;4;0;3;4;7;6;3;1;4;2;93;0;0;0;0.88;0;0;22.25
org/apache/cassandra/locator/AbstractReplicationStrategy;1;5;2;72;19;1;4;14;20;171;7;8;17;1.06;105;0.50;2;0;0.20;0;0;4.21
org/apache/cassandra/locator/DynamicEndpointSnitch;0;4;2;48;23;0;0;12;85;157;2;12;15;0.87;481;0.83;1;0;0.21;0;0;19.39
org/apache/cassandra/locator/Ec2Snitch;1;2;2;67;5;0;0;3;6;10;0;3;4;1.25;36;1;0;0;0.53;0;0;5
org/apache/cassandra/locator/NetworkTopologyStrategy;0;5;2;44;6;0;0;7;7;15;1;6;6;1.20;39;1;1;0;0.36;0;0;5
org/apache/cassandra/locator/OldNetworkTopologyStrategy;0;2;2;17;4;0;0;5;22;4;0;5;4;2;184;0;0;0;0.42;0;0;45
org/apache/cassandra/locator/PropertyFileSnitch;0;1;1;20;5;0;0;3;6;10;0;3;5;1.25;34;1;0;0;0.80;0;0;5
org/apache/cassandra/locator/RackInferringSnitch;0;1;1;4;3;0;0;1;6;3;0;1;3;2;24;0;0;0;0.83;0;0;7
org/apache/cassandra/locator/SimpleSnitch;0;1;1;12;5;0;0;1;6;10;0;1;5;2;15;0;0;0;0.67;0;0;2
org/apache/cassandra/locator/SimpleStrategy;0;2;2;16;4;0;0;5;18;4;0;5;4;2;78;0;0;0;0.42;0;0;18.50
org/apache/cassandra/locator/TokenMetadata;1;2;1;34;42;1;0;12;43;861;7;6;40;1.02;261;1;0;0;0.19;0;0;5
