Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/streaming/IncomingStreamReader;1;3;1;380;4;1;1;5;5;6;1;4;2;1.33;29;1;3;0;0.40;0;0;5
org/apache/cassandra/streaming/OperationType;0;2;1;5;4;2;0;12;7;4;12;0;2;0.94;90;0.17;6;0.87;0.44;1;1;20
org/apache/cassandra/streaming/PendingFile;1;4;2;34;8;1;0;15;24;16;11;5;7;0.70;140;0.25;4;0;0.25;1;1;15.50
org/apache/cassandra/streaming/StreamIn;0;3;1;65;3;1;0;3;4;3;0;3;3;1.50;19;1;0;0;0.33;0;0;5
org/apache/cassandra/streaming/StreamInSession;1;6;2;93;13;1;0;5;14;78;2;3;12;1.08;86;1;2;0;0.20;0;0;5
org/apache/cassandra/streaming/StreamOut;2;6;2;212;6;1;0;5;7;15;1;4;4;1.20;37;1;0;0;0.36;0;0;5
org/apache/cassandra/streaming/StreamOutSession;0;2;1;6;18;1;0;6;19;153;3;3;15;1.06;115;0.86;1;0;0.22;0;0;5
org/apache/cassandra/streaming/StreamRequestMessage;0;2;1;70;6;1;0;9;24;7;1;9;2;0.63;157;1;3;0;0.33;0;0;24
org/apache/cassandra/streaming/StreamRequestVerbHandler;0;2;1;4;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
