Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/net/Header;1;2;2;64;9;1;0;5;17;8;3;3;0;0.73;91;0.80;2;0;0.33;0;0;8.56
org/apache/cassandra/net/IncomingTcpConnection;2;8;2;82;4;2;0;2;5;6;0;2;2;1.33;28;0.75;0;0.96;0.44;0;0;5
org/apache/cassandra/net/Message;1;2;2;16;16;1;0;65;33;82;59;7;13;0.64;188;0.60;2;0;0.28;0;0;10.75
org/apache/cassandra/net/MessageDeliveryTask;0;1;1;33;2;1;0;2;3;1;0;2;2;2;16;1;1;0;0.67;0;0;5
org/apache/cassandra/net/MessagingService;2;11;3;186;46;1;0;22;47;1035;2;20;39;1.02;300;0.83;4;0;0.13;0;0;5
org/apache/cassandra/net/MessagingServiceMBean;0;2;1;30;10;1;0;2;10;45;2;0;10;2;10;0;0;0;1;0;0;0
org/apache/cassandra/net/OutboundTcpConnection;0;4;2;16;10;2;0;3;11;45;2;1;5;1.11;68;1;0;0.88;0.43;0;0;5
