Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/db/BinaryMemtable;0;1;1;11;8;1;0;7;9;28;0;7;3;1.14;57;0.89;2;0;0.28;0;0;5
org/apache/cassandra/db/Column;0;2;2;19;27;1;4;19;28;351;13;7;25;1.04;167;1;1;0;0.16;1;1;5
org/apache/cassandra/db/ColumnFamily;0;4;3;92;52;1;0;43;53;1326;32;12;51;1.02;319;0.71;3;0;0.13;1;1;5
org/apache/cassandra/db/ColumnFamilySerializer;1;2;1;12;10;1;0;4;11;45;2;3;10;1.11;61;1;0;0;0.54;0;0;5
org/apache/cassandra/db/ColumnFamilyStore;3;38;6;733;153;1;0;57;154;11628;28;32;122;1.01;951;0.70;17;0;0.05;0;0;5
org/apache/cassandra/db/ColumnFamilyStoreMBean;0;1;1;6;51;1;0;3;51;1275;2;1;51;2;51;0;0;0;0.38;0;0;0
org/apache/cassandra/db/ColumnIndexer;0;1;1;2;6;1;0;8;38;13;0;8;3;0.60;226;0;0;0;0.45;0;0;36.50
org/apache/cassandra/db/columniterator/IColumnIterator;0;1;1;0;3;1;0;18;3;3;16;2;3;2;3;0;0;0;1;0;0;0
org/apache/cassandra/db/columniterator/SimpleSliceReader;0;1;1;0;5;1;0;9;6;10;1;8;4;1.25;37;1;4;0;0.40;0;0;5
org/apache/cassandra/db/columniterator/SSTableSliceIterator;0;1;1;0;11;1;0;12;30;25;0;12;9;0.75;174;0.75;3;0;0.37;0;0;14.45
org/apache/cassandra/db/commitlog/CommitLog;2;7;2;231;16;1;0;10;17;120;5;5;9;1.07;102;0.67;2;0;0.18;0;0;5
org/apache/cassandra/db/commitlog/CommitLogHeader;0;2;2;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/commitlog/CommitLogSegment;4;5;2;183;17;1;0;5;18;136;1;4;11;1.06;108;0.83;1;0;0.31;0;0;5
org/apache/cassandra/db/commitlog/ReplayPosition;0;3;1;25;6;1;0;11;7;15;11;1;6;1.20;41;0;2;0;0.28;1;1;5
org/apache/cassandra/db/compaction/AbstractCompactedRow;0;1;1;0;5;1;3;9;6;10;8;1;5;1;12;0;1;0;0.40;0;0;1.20
org/apache/cassandra/db/compaction/CompactionController;1;9;2;51;11;1;0;8;12;55;3;5;11;1.10;74;0.63;1;0;0.23;0;0;5
org/apache/cassandra/db/compaction/CompactionInfo;0;1;1;0;8;1;0;8;17;10;7;1;8;0.57;101;1;1;0;0.38;0;0;11
org/apache/cassandra/db/compaction/CompactionIterator;1;4;1;21;11;0;1;10;12;55;1;9;5;1.10;77;0.91;2;0;0.29;0;0;5
org/apache/cassandra/db/compaction/CompactionManager;1;12;3;257;34;1;0;14;35;561;2;12;20;1.03;211;0.71;3;0;0.14;0;0;5
org/apache/cassandra/db/compaction/CompactionManagerMBean;0;2;1;2;5;1;0;2;5;10;2;0;5;2;5;0;0;0;0.60;0;0;0
org/apache/cassandra/db/compaction/CompactionType;0;1;1;0;5;2;0;2;8;6;2;0;3;0.94;163;0.17;11;0.81;0.42;1;1;29.20
org/apache/cassandra/db/compaction/LazilyCompactedRow;2;6;2;57;8;0;0;8;9;28;1;8;8;1.14;57;1;4;0;0.30;0;0;5
org/apache/cassandra/db/compaction/PrecompactedRow;3;7;2;94;10;0;0;5;11;45;0;5;9;1.11;62;1;1;0;0.26;0;0;5
org/apache/cassandra/db/CompactionManager;0;13;3;259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/CompactionManagerMBean;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/context/CounterContext;2;4;1;264;17;1;0;10;18;136;5;5;14;1.06;108;1;0;0;0.29;0;0;5
org/apache/cassandra/db/CounterColumn;0;2;1;96;21;0;0;16;22;210;4;12;18;1.50;129;1;1;0;0.15;0;0;5
org/apache/cassandra/db/CounterMutation;0;4;1;116;14;1;0;8;15;91;2;7;13;1.08;88;1;2;0;0.17;0;0;5
org/apache/cassandra/db/CounterMutationVerbHandler;0;1;1;7;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/db/DataTracker;0;4;1;50;35;1;0;7;36;595;3;6;31;1.03;215;0.80;1;0;0.19;0;0;5
org/apache/cassandra/db/DefinitionsAnnounceVerbHandler;0;2;1;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/DefinitionsUpdateResponseVerbHandler;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/DefinitionsUpdateVerbHandler;0;1;1;0;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/db/DeletedColumn;0;1;1;12;9;0;0;7;21;32;1;6;9;2;82;0;0;0;0.27;0;0;8.11
org/apache/cassandra/db/EchoedRow;0;6;2;39;6;0;0;3;14;7;0;3;5;0.70;58;0.50;1;0;0.40;0;0;8.33
org/apache/cassandra/db/ExpiringColumn;0;1;1;12;13;0;0;9;38;28;1;8;12;0.58;204;0.67;0;0;0.23;0;0;14.46
org/apache/cassandra/db/filter/NamesQueryFilter;0;1;1;10;9;1;0;11;10;36;2;9;9;1.13;55;0;0;0;0.23;0;0;5
org/apache/cassandra/db/filter/QueryFilter;0;1;1;14;14;1;0;18;15;91;6;13;14;1.08;89;0.40;4;0;0.17;0;0;5
org/apache/cassandra/db/HintedHandOffManager;0;9;2;70;16;1;0;6;17;120;0;6;9;1.07;104;0.75;1;0;0.24;0;0;5
org/apache/cassandra/db/IColumn;0;1;1;3;20;1;0;35;20;190;32;4;20;1.05;21;0;0;0;0.20;0;0;0
org/apache/cassandra/db/IFlushable;0;1;1;4;1;1;0;4;1;0;3;1;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/db/IMutation;0;1;1;5;5;1;0;5;5;10;5;0;5;2;5;0;0;0;0.60;0;0;0
org/apache/cassandra/db/marshal/AbstractCommutativeType;0;2;1;42;17;0;1;5;24;136;1;4;17;2;68;0;0;0;0.32;0;0;3
org/apache/cassandra/db/marshal/AbstractCompositeType;0;1;1;0;31;0;2;5;66;465;2;3;22;2;514;0;0;0;0.32;0;0;15.58
org/apache/cassandra/db/marshal/AbstractType;0;4;2;42;21;1;14;68;42;208;66;10;20;0.99;146;0;0;0;0.22;0;0;5.71
org/apache/cassandra/db/marshal/AbstractUUIDType;0;2;1;21;11;0;3;4;12;55;3;1;11;2;40;0;0;0;0.45;0;0;2.64
org/apache/cassandra/db/marshal/AsciiType;0;2;1;43;16;0;0;2;17;120;0;2;15;1.07;97;0;1;0;0.52;0;0;5
org/apache/cassandra/db/marshal/BooleanType;0;1;1;0;23;0;0;3;39;253;0;3;21;1;233;0;1;0;0.34;0;0;9.09
org/apache/cassandra/db/marshal/BytesType;0;2;1;43;24;0;0;4;31;276;0;4;22;1;127;0;1;0;0.41;0;0;4.25
org/apache/cassandra/db/marshal/CompositeType;0;1;1;0;10;0;0;7;28;1;0;7;3;0.50;113;0.50;0;0;0.33;0;0;10.10
org/apache/cassandra/db/marshal/DateType;0;1;1;0;16;0;0;2;17;120;0;2;15;1.07;99;0;1;0;0.39;0;0;5
org/apache/cassandra/db/marshal/DoubleType;0;1;1;0;23;0;0;3;39;253;0;3;21;1;193;0;1;0;0.34;0;0;7.35
org/apache/cassandra/db/marshal/DynamicCompositeType;0;1;1;0;10;0;0;8;11;45;1;7;3;1.11;63;1;0;0;0.33;0;0;5
org/apache/cassandra/db/marshal/FloatType;0;1;1;0;23;0;0;3;39;253;0;3;21;1;193;0;1;0;0.34;0;0;7.35
org/apache/cassandra/db/marshal/IntegerType;0;3;1;45;17;0;0;2;18;136;0;2;15;1.06;103;0;1;0;0.38;0;0;5
org/apache/cassandra/db/marshal/LexicalUUIDType;0;2;1;9;14;0;0;4;26;91;0;4;12;1;141;0;1;0;0.37;0;0;9
org/apache/cassandra/db/marshal/LocalByPartionerType;0;2;1;40;16;0;0;3;17;120;0;3;16;1.07;97;1;1;0;0.41;0;0;5
org/apache/cassandra/db/marshal/LongType;0;2;1;43;23;0;0;3;44;253;0;3;21;1;202;0;1;0;0.34;0;0;7.74
org/apache/cassandra/db/marshal/ReversedType;1;3;1;21;21;0;0;4;53;0;1;4;19;0.50;189;0.50;1;0;0.26;0;0;7.90
org/apache/cassandra/db/marshal/TimeUUIDType;0;2;1;11;10;0;0;2;11;45;0;2;8;1.11;63;0;1;0;0.43;0;0;5
org/apache/cassandra/db/marshal/TypeParser;0;3;2;19;22;1;0;5;23;231;4;2;7;1.05;136;0.75;1;0;0.16;0;0;5
org/apache/cassandra/db/marshal/UTF8Type;0;3;1;49;16;0;0;2;17;120;0;2;15;1.07;97;0;1;0;0.52;0;0;5
org/apache/cassandra/db/marshal/UUIDType;0;3;1;66;10;0;0;2;11;45;0;2;8;1.11;61;0;1;0;0.43;0;0;5
org/apache/cassandra/db/Memtable;0;6;2;32;24;1;0;16;25;276;5;12;17;1.04;158;0.86;2;0;0.16;0;0;5
