Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/thrift/CassandraDaemon;1;3;2;148;4;0;0;4;5;6;1;3;2;1.33;30;0.83;1;0;0.50;0;0;5
org/apache/cassandra/thrift/CassandraServer;3;18;5;306;53;1;0;27;54;1378;0;27;36;1.02;324;0.83;1;0;0.12;0;0;5
org/apache/cassandra/thrift/CustomTHsHaServer;0;2;2;21;7;1;0;5;8;21;2;4;3;1.17;46;1;0;0;0.31;0;0;5
org/apache/cassandra/thrift/CustomTNonBlockingServer;0;2;2;21;2;1;0;2;3;1;0;2;1;2;12;0;0;0;0.67;0;0;5
org/apache/cassandra/thrift/CustomTThreadPoolServer;1;1;1;2;2;1;0;2;3;1;1;1;2;2;16;1;0;0;1;0;0;5
org/apache/cassandra/thrift/TCustomNonblockingServerSocket;0;2;2;23;2;1;0;3;3;1;0;3;1;2;16;1;0;0;0.63;0;0;5
org/apache/cassandra/thrift/ThriftValidation;0;18;3;311;29;1;0;18;30;406;0;18;25;1.04;175;1;0;0;0.09;0;0;5
