Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/dht/AbstractBounds;2;3;2;21;10;1;2;13;25;35;9;7;9;0.91;121;0.50;4;0;0.31;1;1;10.50
org/apache/cassandra/dht/AbstractByteOrderedPartitioner;0;1;1;13;12;1;2;7;13;66;2;5;10;1.09;70;0.33;2;0;0.26;0;0;4.58
org/apache/cassandra/dht/BootStrapper;0;1;1;27;9;1;0;6;10;36;0;6;5;1.13;59;1;2;0;0.24;0;0;5
org/apache/cassandra/dht/Bounds;0;1;1;2;8;0;0;6;21;14;1;5;6;0.57;125;0;0;0;0.46;0;0;14.50
org/apache/cassandra/dht/OrderPreservingPartitioner;0;2;2;10;17;1;0;14;65;128;1;14;14;0.86;434;0.25;2;0;0.21;0;0;24.29
org/apache/cassandra/dht/RandomPartitioner;0;1;1;13;14;1;0;10;51;75;1;10;13;0.85;315;0.40;2;0;0.37;0;0;21.14
org/apache/cassandra/dht/Range;1;2;1;83;21;0;1;22;22;210;20;3;18;1.50;127;0;0;0;0.23;0;0;5
org/apache/cassandra/dht/Token;0;1;1;3;8;1;4;35;13;14;35;1;6;0.86;49;0.67;1;0;0.48;1;1;4.75
