Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/cache/AutoSavingCache;0;5;2;30;11;0;2;10;12;55;5;6;11;1.10;62;0.83;1;0;0.22;0;0;4.09
org/apache/cassandra/cache/ConcurrentLinkedHashCache;0;2;2;23;12;1;0;2;13;66;0;2;12;1.09;74;0.50;0;0;0.30;0;0;5
org/apache/cassandra/cache/ConcurrentLinkedHashCacheProvider;0;2;2;25;2;1;0;2;3;1;0;2;2;2;12;0;0;0;0.67;0;0;5
org/apache/cassandra/cache/FreeableMemory;0;2;1;55;6;1;0;2;7;15;2;0;4;1.20;37;0;0;0;0.67;0;0;5
org/apache/cassandra/cache/ICache;0;1;1;21;9;1;0;9;9;36;9;0;9;2;9;0;0;0;0.48;0;0;0
org/apache/cassandra/cache/InstrumentingCache;1;1;1;5;17;1;1;4;40;2;2;2;17;0.76;219;1;1;0;0.29;0;0;11.53
org/apache/cassandra/cache/InstrumentingCacheMBean;1;1;1;2;6;1;0;2;6;15;2;0;6;2;6;0;0;0;0.58;0;0;0
org/apache/cassandra/cache/IRowCacheProvider;0;2;2;23;1;1;0;5;1;0;4;1;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/cache/SerializingCache;0;3;2;40;13;1;0;5;14;78;0;5;11;1.08;82;1;1;0;0.28;0;0;5
org/apache/cassandra/cache/SerializingCacheProvider;0;2;2;25;2;1;0;3;3;1;0;3;2;2;12;0;0;0;0.67;0;0;5
org/apache/cassandra/cli/CliClient;7;34;6;675;80;1;0;17;81;3160;1;16;9;1.01;490;1;2;0;0.14;0;0;5
org/apache/cassandra/cli/CliCommandHelp;0;1;1;0;1;1;0;0;2;0;0;0;1;2;6;0;0;0;1;0;0;3
org/apache/cassandra/cli/CliCompiler;1;1;1;2;9;1;0;1;10;36;0;1;9;2;54;0;0;0;0.31;0;0;5
org/apache/cassandra/cli/CliCompleter;0;1;1;2;2;1;0;1;3;1;1;0;1;2;14;1;0;0;1;0;0;5
org/apache/cassandra/cli/CliMain;0;2;2;22;9;1;0;4;10;36;0;4;7;1.13;60;0.67;3;0;0.13;0;0;5
org/apache/cassandra/cli/CliUserHelp;0;2;2;400;1;1;0;1;2;0;1;0;1;2;7;0;0;0;1;0;0;3
org/apache/cassandra/cli/CliUtils;0;1;1;71;5;1;0;2;6;10;0;2;5;2;30;0;0;0;0.33;0;0;5
org/apache/cassandra/client/RingCache;0;1;1;62;5;1;0;6;6;10;1;5;5;1.25;34;1;1;0;0.45;0;0;5
org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor;1;5;2;87;8;3;2;3;9;28;2;1;4;1.14;50;0.50;0;0.93;0.36;1;1;5
org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutor;0;2;2;47;16;0;1;7;40;94;3;4;12;0.73;202;1;0;0;0.25;0;0;11.75
org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutorMBean;0;1;1;13;2;1;0;3;2;1;2;1;2;2;2;0;0;0;1;0;0;0
org/apache/cassandra/config/CFMetaData;4;28;4;322;78;1;0;46;79;3003;36;10;71;1.01;518;0.44;12;0;0.09;1;1;5
org/apache/cassandra/config/ColumnDefinition;0;4;2;36;16;1;0;7;17;120;2;5;16;1.07;102;0.50;1;0;0.17;1;1;5
org/apache/cassandra/config/Config;0;2;2;3;1;1;0;7;8;0;1;6;1;2;217;0;6;0;1;0;0;153
org/apache/cassandra/config/DatabaseDescriptor;2;11;3;79;97;1;0;35;98;4656;15;20;95;1.01;600;0.89;10;0;0.02;0;0;5
org/apache/cassandra/config/KSMetaData;2;12;3;229;17;1;0;13;18;136;9;4;15;1.06;107;0.20;0;0;0.16;1;1;5
org/apache/cassandra/cql/AbstractModification;0;6;1;139;10;1;2;6;11;45;2;4;10;1.11;56;0.83;0;0;0.30;0;0;4
org/apache/cassandra/cql/AlterTableStatement;0;2;2;11;4;1;0;4;5;6;0;4;4;1.33;28;0;1;0;0.75;0;0;5
org/apache/cassandra/cql/Attributes;0;1;1;0;9;1;0;5;10;36;4;1;9;1.13;57;1;0;0;0.42;0;0;5
org/apache/cassandra/cql/BatchStatement;0;5;1;171;7;1;0;4;8;21;0;4;7;1.17;46;1;0;0;0.31;0;0;5
org/apache/cassandra/cql/BatchUpdateStatement;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/cql/CreateColumnFamilyStatement;0;9;3;99;16;1;0;5;17;120;0;5;8;1.07;119;0.96;0;0;0.28;0;0;5
org/apache/cassandra/cql/CreateKeyspaceStatement;0;1;1;21;5;1;0;1;6;10;0;1;5;1.25;34;1;0;0;0.47;0;0;5
org/apache/cassandra/cql/DeleteStatement;0;7;1;142;8;0;0;5;9;28;0;5;8;1.14;50;1;0;0;0.34;0;0;5
org/apache/cassandra/cql/DropIndexStatement;0;1;1;0;3;1;0;4;4;3;0;4;2;1.50;19;0;0;0;0.67;0;0;5
org/apache/cassandra/cql/Operation;0;1;1;0;4;1;0;2;6;0;0;2;4;0.11;74;0;3;0;0.58;0;0;16.75
org/apache/cassandra/cql/QueryProcessor;0;21;3;753;26;1;0;19;27;325;1;18;6;1.40;159;0.67;0;0;0.10;0;0;5
org/apache/cassandra/cql/SelectExpression;0;1;1;10;14;1;0;2;19;49;1;1;13;0.86;137;0.75;2;0;0.42;0;0;8.21
org/apache/cassandra/cql/SelectStatement;0;4;1;37;24;1;0;7;25;276;1;6;24;1.04;150;1;2;0;0.16;0;0;5
org/apache/cassandra/cql/StatementType;0;5;1;10;4;2;0;1;9;4;1;0;2;0.98;199;0.12;15;0.87;0.44;1;1;44.50
org/apache/cassandra/cql/Term;0;2;1;41;10;1;0;10;11;45;7;3;9;1.11;62;1;1;0;0.27;1;1;5
org/apache/cassandra/cql/UpdateStatement;0;8;2;349;14;0;0;8;15;91;0;8;13;1.08;88;1;0;0;0.27;0;0;5
org/apache/cassandra/cql/WhereClause;0;5;1;111;16;1;0;7;36;38;1;6;16;0.78;238;1;2;0;0.23;0;0;13.38
org/apache/cassandra/db/BinaryMemtable;0;1;1;11;8;1;0;7;9;28;0;7;3;1.14;57;0.89;2;0;0.28;0;0;5
org/apache/cassandra/db/Column;0;2;2;19;27;1;4;19;28;351;13;7;25;1.04;167;1;1;0;0.16;1;1;5
